"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2142.79076348849,0,0,2142.79076348849,2,1,2142.79076348849,2,2,2142.79076348849,2,3,2142.79076348849,2,4,2142.79076348849,2,5,2142.79076348849,2,6,2142.79076348849,3,1,2142.79076348849,3,2,2142.79076348849,3,3,2142.79076348849,3,4,2142.79076348849,3,5,2142.79076348849,3,6,2142.79076348849,4,1,2142.79076348849,4,2,2142.79076348849,4,3,2142.79076348849,4,4,2142.79076348849,4,5,2142.79076348849,4,6,2142.79076348849,5,1,2142.79076348849,5,2,2142.79076348849,5,3,2142.79076348849,5,4,2142.79076348849,5,5,2142.79076348849,5,6,2142.79076348849,6,1,2142.79076348849,6,2,2142.79076348849,6,3,2142.79076348849,6,4,2142.79076348849,6,5,2142.79076348849,6,6,2142.79076348849,7,1,2142.79076348849,7,2,2142.79076348849,7,3,2142.79076348849,7,4,2142.79076348849,7,5,2142.79076348849,7,6
3479.40212293619,0,0,3479.40212293619,2,1,3479.40212293619,2,2,3479.40212293619,2,3,3479.40212293619,2,4,3479.40212293619,2,5,3479.40212293619,2,6,3479.40212293619,3,1,3479.40212293619,3,2,3479.40212293619,3,3,3479.40212293619,3,4,3479.40212293619,3,5,3479.40212293619,3,6,3479.40212293619,4,1,3479.40212293619,4,2,3479.40212293619,4,3,3479.40212293619,4,4,3479.40212293619,4,5,3479.40212293619,4,6,3479.40212293619,5,1,3479.40212293619,5,2,3479.40212293619,5,3,3479.40212293619,5,4,3479.40212293619,5,5,3479.40212293619,5,6,3479.40212293619,6,1,3479.40212293619,6,2,3479.40212293619,6,3,3479.40212293619,6,4,3479.40212293619,6,5,3479.40212293619,6,6,3479.40212293619,7,1,3479.40212293619,7,2,3479.40212293619,7,3,3479.40212293619,7,4,3479.40212293619,7,5,3479.40212293619,7,6
2644.11269485742,0,0,2644.11269485742,2,1,2644.11269485742,2,2,2644.11269485742,2,3,2644.11269485742,2,4,2644.11269485742,2,5,2644.11269485742,2,6,2644.11269485742,3,1,2644.11269485742,3,2,2644.11269485742,3,3,2644.11269485742,3,4,2644.11269485742,3,5,2644.11269485742,3,6,2644.11269485742,4,1,2644.11269485742,4,2,2644.11269485742,4,3,2644.11269485742,4,4,2644.11269485742,4,5,2644.11269485742,4,6,2644.11269485742,5,1,2644.11269485742,5,2,2644.11269485742,5,3,2644.11269485742,5,4,2644.11269485742,5,5,2644.11269485742,5,6,2644.11269485742,6,1,2644.11269485742,6,2,2644.11269485742,6,3,2644.11269485742,6,4,2644.11269485742,6,5,2644.11269485742,6,6,2644.11269485742,7,1,2644.11269485742,7,2,2644.11269485742,7,3,2644.11269485742,7,4,2644.11269485742,7,5,2644.11269485742,7,6
2029.88997961347,0,0,2029.88997961347,2,1,2029.88997961347,2,2,2029.88997961347,2,3,2029.88997961347,2,4,2029.88997961347,2,5,2029.88997961347,2,6,2029.88997961347,3,1,2029.88997961347,3,2,2029.88997961347,3,3,2029.88997961347,3,4,2029.88997961347,3,5,2029.88997961347,3,6,2029.88997961347,4,1,2029.88997961347,4,2,2029.88997961347,4,3,2029.88997961347,4,4,2029.88997961347,4,5,2029.88997961347,4,6,2029.88997961347,5,1,2029.88997961347,5,2,2029.88997961347,5,3,2029.88997961347,5,4,2029.88997961347,5,5,2029.88997961347,5,6,2029.88997961347,6,1,2029.88997961347,6,2,2029.88997961347,6,3,2029.88997961347,6,4,2029.88997961347,6,5,2029.88997961347,6,6,2029.88997961347,7,1,2029.88997961347,7,2,2029.88997961347,7,3,2029.88997961347,7,4,2029.88997961347,7,5,2029.88997961347,7,6
1575.00871240152,0,0,1575.00871240152,2,1,1575.00871240152,2,2,1575.00871240152,2,3,1575.00871240152,2,4,1575.00871240152,2,5,1575.00871240152,2,6,1575.00871240152,3,1,1575.00871240152,3,2,1575.00871240152,3,3,1575.00871240152,3,4,1575.00871240152,3,5,1575.00871240152,3,6,1575.00871240152,4,1,1575.00871240152,4,2,1575.00871240152,4,3,1575.00871240152,4,4,1575.00871240152,4,5,1575.00871240152,4,6,1575.00871240152,5,1,1575.00871240152,5,2,1575.00871240152,5,3,1575.00871240152,5,4,1575.00871240152,5,5,1575.00871240152,5,6,1575.00871240152,6,1,1575.00871240152,6,2,1575.00871240152,6,3,1575.00871240152,6,4,1575.00871240152,6,5,1575.00871240152,6,6,1575.00871240152,7,1,1575.00871240152,7,2,1575.00871240152,7,3,1575.00871240152,7,4,1575.00871240152,7,5,1575.00871240152,7,6
1235.53377159128,0,0,1235.53377159128,2,1,1235.53377159128,2,2,1235.53377159128,2,3,1235.53377159128,2,4,1235.53377159128,2,5,1235.53377159128,2,6,1235.53377159128,3,1,1235.53377159128,3,2,1235.53377159128,3,3,1235.53377159128,3,4,1235.53377159128,3,5,1235.53377159128,3,6,1235.53377159128,4,1,1235.53377159128,4,2,1235.53377159128,4,3,1235.53377159128,4,4,1235.53377159128,4,5,1235.53377159128,4,6,1235.53377159128,5,1,1235.53377159128,5,2,1235.53377159128,5,3,1235.53377159128,5,4,1235.53377159128,5,5,1235.53377159128,5,6,1235.53377159128,6,1,1235.53377159128,6,2,1235.53377159128,6,3,1235.53377159128,6,4,1235.53377159128,6,5,1235.53377159128,6,6,1235.53377159128,7,1,1235.53377159128,7,2,1235.53377159128,7,3,1235.53377159128,7,4,1235.53377159128,7,5,1235.53377159128,7,6
980.214157541424,0,0,980.214157541424,2,1,980.214157541424,2,2,980.214157541424,2,3,980.214157541424,2,4,980.214157541424,2,5,980.214157541424,2,6,980.214157541424,3,1,980.214157541424,3,2,980.214157541424,3,3,980.214157541424,3,4,980.214157541424,3,5,980.214157541424,3,6,980.214157541424,4,1,980.214157541424,4,2,980.214157541424,4,3,980.214157541424,4,4,980.214157541424,4,5,980.214157541424,4,6,980.214157541424,5,1,980.214157541424,5,2,980.214157541424,5,3,980.214157541424,5,4,980.214157541424,5,5,980.214157541424,5,6,980.214157541424,6,1,980.214157541424,6,2,980.214157541424,6,3,980.214157541424,6,4,980.214157541424,6,5,980.214157541424,6,6,980.214157541424,7,1,980.214157541424,7,2,980.214157541424,7,3,980.214157541424,7,4,980.214157541424,7,5,980.214157541424,7,6
786.62100659273,0,0,786.62100659273,2,1,786.62100659273,2,2,786.62100659273,2,3,786.62100659273,2,4,786.62100659273,2,5,786.62100659273,2,6,786.62100659273,3,1,786.62100659273,3,2,786.62100659273,3,3,786.62100659273,3,4,786.62100659273,3,5,786.62100659273,3,6,786.62100659273,4,1,786.62100659273,4,2,786.62100659273,4,3,786.62100659273,4,4,786.62100659273,4,5,786.62100659273,4,6,786.62100659273,5,1,786.62100659273,5,2,786.62100659273,5,3,786.62100659273,5,4,786.62100659273,5,5,786.62100659273,5,6,786.62100659273,6,1,786.62100659273,6,2,786.62100659273,6,3,786.62100659273,6,4,786.62100659273,6,5,786.62100659273,6,6,786.62100659273,7,1,786.62100659273,7,2,786.62100659273,7,3,786.62100659273,7,4,786.62100659273,7,5,786.62100659273,7,6
638.798585623795,0,0,638.798585623795,2,1,638.798585623795,2,2,638.798585623795,2,3,638.798585623795,2,4,638.798585623795,2,5,638.798585623795,2,6,638.798585623795,3,1,638.798585623795,3,2,638.798585623795,3,3,638.798585623795,3,4,638.798585623795,3,5,638.798585623795,3,6,638.798585623795,4,1,638.798585623795,4,2,638.798585623795,4,3,638.798585623795,4,4,638.798585623795,4,5,638.798585623795,4,6,638.798585623795,5,1,638.798585623795,5,2,638.798585623795,5,3,638.798585623795,5,4,638.798585623795,5,5,638.798585623795,5,6,638.798585623795,6,1,638.798585623795,6,2,638.798585623795,6,3,638.798585623795,6,4,638.798585623795,6,5,638.798585623795,6,6,638.798585623795,7,1,638.798585623795,7,2,638.798585623795,7,3,638.798585623795,7,4,638.798585623795,7,5,638.798585623795,7,6
525.215941304483,0,0,525.215941304483,2,1,525.215941304483,2,2,525.215941304483,2,3,525.215941304483,2,4,525.215941304483,2,5,525.215941304483,2,6,525.215941304483,3,1,525.215941304483,3,2,525.215941304483,3,3,525.215941304483,3,4,525.215941304483,3,5,525.215941304483,3,6,525.215941304483,4,1,525.215941304483,4,2,525.215941304483,4,3,525.215941304483,4,4,525.215941304483,4,5,525.215941304483,4,6,525.215941304483,5,1,525.215941304483,5,2,525.215941304483,5,3,525.215941304483,5,4,525.215941304483,5,5,525.215941304483,5,6,525.215941304483,6,1,525.215941304483,6,2,525.215941304483,6,3,525.215941304483,6,4,525.215941304483,6,5,525.215941304483,6,6,525.215941304483,7,1,525.215941304483,7,2,525.215941304483,7,3,525.215941304483,7,4,525.215941304483,7,5,525.215941304483,7,6
